Sample_Index,FieldID,SampleID_orig,Lat,Long,SampleDate,LabSampleID,pH_KCl,pH_H2O,pH_Sikora,Hydrolytic_acidity_mmol_100_g_DSTU_7537_2014,OM,P,Ca,CaO,K,K2O,Mg,MgO,Na,CEC,Sand,Silt,Clay,USDA_Texture,Total_C,AC,BD
1,6ГО,6ГО_1,51.73763104,31.13782108,2024-05-16T00:00:00Z,1.16554,7.4,8.1,7.5,0.43,5.5,4.3,4805,6723.156,89,107.20939999999999,495,820.908,41,28.6,20.7,63.8,15.5,SILT LOAM,2.93,0.8472000000000001,1.18
2,6ГО,6ГО_2,51.74212317,31.13623173,2024-05-16T00:00:00Z,1.16555,7.6,8.3,7.5,0.33,1.8,3.7,3837,5368.7304,84,101.18639999999999,323,535.6632000000001,20,22.2,20.7,67.3,12,SILT LOAM,0.97,0.3669,1.27
3,6ГО,6ГО_3,51.73711374,31.13993016,2024-05-16T00:00:00Z,1.16556,7.6,8.2,7.5,0.37,5.7,4.3,5571,7794.9432,87,104.80019999999999,459,761.2056,23,32,22.3,64.3,13.4,SILT LOAM,3.01,0.7742000000000001,1.22
4,6ГО,6ГО_4,51.73460073,31.14200178,2024-05-16T00:00:00Z,1.16557,7,7.7,7.3,0.75,5.1,3.6,4247,5942.4024,76,91.5496,347,575.4648000000001,24,24.4,18.9,68.5,12.6,SILT LOAM,2.7,0.7697999999999999,1.2
5,6ГО,6ГО_5,51.73867684,31.13160436,2024-05-16T00:00:00Z,1.16558,7.1,7.9,7.5,0.46,2.2,2.8,2360,3302.112,64,77.0944,206,341.6304,17,13.8,22,67.8,10.2,SILT LOAM,1.18,0.4019,1.26
6,6ГО,6ГО_6,51.73461231,31.13512005,2024-05-16T00:00:00Z,1.16559,5.1,6.2,6.9,2.99,2.4,4.7,1297,1814.7624,115,138.529,136,225.54240000000001,12,9.2,23.2,70.3,6.5,SILT LOAM,1.25,0.4571,1.2
7,6ГО,6ГО_7,51.74161566,31.13156146,2024-05-16T00:00:00Z,1.1656,7.5,8.2,7.5,0.38,4.6,4.2,4524,6329.9808,83,99.98179999999999,634,1051.4256,20,28.2,20.3,65.6,14.1,SILT LOAM,2.43,0.7178,1.18
8,6ГО,6ГО_8,51.73237269,31.13648693,2024-05-16T00:00:00Z,1.16561,5,5.8,6.8,3.44,2.5,7.3,1205,1686.036,142,171.05319999999998,115,190.716,10,9.8,22.7,70,7.3,SILT LOAM,1.31,0.1765,1.22
9,6ГО,6ГО_9,51.74450876,31.13056675,2024-05-16T00:00:00Z,1.16562,5,5.8,6.9,2.99,2.2,9.2,1164,1628.6688,83,99.98179999999999,107,177.4488,13,8.2,22.6,71.3,6.1,SILT LOAM,1.18,0.45189999999999997,1.19
10,6ГО,6ГО_10,51.74146904,31.13443832,2024-05-16T00:00:00Z,1.16563,6.9,7.7,7.4,0.81,4.8,7.1,3441,4814.6472,67,80.70819999999999,424,703.1616,34,21.1,19.9,68.7,11.5,SILT LOAM,2.56,0.8498,1.09
